method n p rho rep time mse
0 1e+06 100 0 1 61.893 0.0269281455702255
1 1e+06 100 0 1 17.726 0.0269281455702263
2 1e+06 100 0 1 17.052 0.00959986786793494
3 1e+06 100 0 1 27.881 0.00954364295625812
0 1e+06 100 0 2 66.021 0.027070886631858
1 1e+06 100 0 2 19.633 0.0270708866318603
2 1e+06 100 0 2 17.76 0.0103383877729396
3 1e+06 100 0 2 27.526 0.0102970123513156
0 1e+06 100 0 3 58.427 0.0271154776396896
1 1e+06 100 0 3 13.557 0.0271154776396915
2 1e+06 100 0 3 18.362 0.00878268932070044
3 1e+06 100 0 3 33.426 0.00873978327863414
