method n p rho rep time mse
0 1e+05 1000 0 1 44.837 0.0047990481004776
1 1e+05 1000 0 1 181.98 0.00479904810047755
2 1e+05 1000 0 1 7.58300000000003 0.0239350273368643
3 1e+05 1000 0 1 11.209 0.0185152223625819
0 1e+05 1000 0 2 46.78 0.00491887294203009
1 1e+05 1000 0 2 182.16 0.00491887294203026
2 1e+05 1000 0 2 7.71000000000004 0.0256415251684349
3 1e+05 1000 0 2 11.068 0.0195736286340816
0 1e+05 1000 0 3 46.0060000000001 0.00493482963695831
1 1e+05 1000 0 3 186.563 0.00493482963695842
2 1e+05 1000 0 3 7.58600000000001 0.0247099893822569
3 1e+05 1000 0 3 10.809 0.0193190187146308
